month,day,flight_count
11,28,634
11,29,661
1,19,674
10,12,676
1,26,680
8,31,680
2,2,682
9,28,682
2,9,684
10,19,684
10,26,685
9,14,686
10,5,687
9,7,688
11,2,689
1,12,690
12,7,691
12,14,692
9,21,693
11,16,714
11,9,715
9,1,718
12,25,719
1,5,720
5,25,728
5,26,729
7,4,737
2,16,738
5,11,738
2,23,743
11,23,744
5,4,745
5,18,749
6,1,754
4,27,757
12,24,761
3,2,765
3,9,765
4,20,766
3,16,767
3,23,767
3,30,769
4,6,770
4,13,770
8,24,774
12,31,776
6,8,779
8,17,780
1,20,786
6,15,801
7,6,805
8,10,807
8,3,809
7,20,810
7,13,811
7,27,811
12,21,811
6,22,812
6,29,812
2,3,814
12,28,814
7,5,822
1,27,823
1,13,828
2,10,829
1,6,832
1,1,842
2,17,848
11,30,857
12,8,875
2,24,880
12,15,880
12,29,888
1,22,890
1,29,890
2,12,893
1,15,894
11,10,895
12,22,895
2,5,896
5,12,896
11,17,896
11,24,896
1,23,897
3,31,897
1,8,899
1,30,900
9,15,900
1,16,901
2,6,901
1,9,902
10,13,902
11,3,902
8,25,903
9,22,904
3,24,905
3,17,907
3,10,908
6,9,908
9,8,908
10,27,910
4,7,911
5,19,911
6,2,911
1,21,912
5,5,912
3,3,913
4,28,913
1,3,914
8,18,914
9,29,914
1,4,915
10,20,915
4,14,917
10,6,917
2,13,918
6,16,918
6,30,918
4,21,919
1,25,922
10,31,922
1,28,923
6,23,923
1,18,924
1,24,925
2,1,926
1,17,927
1,14,928
1,31,928
5,27,928
2,11,929
7,21,929
8,4,929
8,11,929
9,2,929
1,11,930
2,8,930
7,28,930
7,14,931
1,10,932
2,4,932
2,7,932
1,7,933
7,7,934
12,26,936
2,26,938
11,25,942
1,2,943
2,19,943
12,10,943
2,27,945
7,2,945
9,11,947
2,18,948
9,4,948
2,20,949
12,17,949
2,15,954
12,11,954
5,7,955
5,14,955
2,14,956
9,3,956
12,18,956
2,22,957
3,1,958
12,4,958
4,30,960
6,4,960
9,24,960
2,21,961
2,25,961
9,10,961
9,17,961
5,21,962
12,9,962
10,15,963
12,27,963
2,28,964
5,1,964
10,8,964
10,22,964
12,16,964
3,5,965
4,23,965
5,8,965
8,27,965
8,30,965
10,1,965
10,29,965
3,12,966
7,1,966
3,19,967
5,15,967
9,6,967
11,5,967
12,12,968
12,30,968
9,5,969
12,5,969
3,20,970
4,1,970
6,5,970
12,6,970
12,13,970
3,6,972
5,22,972
9,18,972
3,26,973
8,28,973
10,30,973
11,6,973
11,12,973
11,19,973
12,3,973
3,13,974
3,29,974
4,16,974
5,29,974
10,9,974
10,16,974
12,19,974
4,9,975
6,7,975
10,2,975
10,23,975
4,24,976
6,6,976
9,25,976
11,13,976
3,4,977
3,22,977
3,27,977
11,20,977
3,25,978
5,3,978
5,10,978
5,24,978
11,4,978
3,8,979
3,15,979
5,13,979
8,29,979
3,7,980
3,11,980
3,21,980
5,6,980
5,17,980
6,11,980
12,20,980
3,18,981
4,5,981
4,8,981
4,26,981
5,9,981
5,28,981
3,14,982
3,28,982
5,16,982
6,3,982
6,18,982
8,26,982
4,2,983
4,25,983
4,29,983
5,2,983
5,20,983
6,12,983
7,3,983
10,28,983
11,11,983
4,4,985
4,22,985
6,19,985
11,15,985
11,18,985
12,23,985
5,31,986
8,20,986
11,1,986
11,8,986
6,10,987
10,14,987
12,1,987
4,17,988
4,19,988
5,23,988
11,14,988
4,10,989
4,12,989
5,30,989
6,13,989
6,14,989
8,23,989
10,25,989
11,26,989
6,17,990
8,21,990
8,22,990
9,9,991
10,11,991
10,21,991
11,7,991
4,3,992
4,11,992
4,18,992
9,12,992
9,16,992
9,19,992
10,24,992
6,21,993
6,25,993
9,23,993
9,30,993
10,18,993
6,24,994
6,28,994
9,20,994
10,7,994
10,10,994
4,15,995
6,20,995
6,26,995
6,27,995
8,13,995
10,3,995
10,4,995
10,17,995
7,16,996
8,6,996
8,19,996
9,13,996
9,26,996
9,27,996
7,23,997
7,30,997
8,14,997
8,16,998
7,15,999
7,19,999
7,26,999
7,29,999
8,2,999
8,9,999
11,22,999
7,22,1000
7,24,1000
8,1,1000
8,5,1000
8,15,1000
11,21,1000
7,9,1001
7,17,1001
7,31,1001
8,7,1001
8,8,1001
8,12,1001
7,12,1002
7,18,1003
7,25,1003
7,8,1004
7,10,1004
12,2,1004
7,11,1006
11,27,1014
